ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6658,0.508421052631579,0.5,1.0,0.6666666666666666
01,source,0.613,0.5173684210526316,0.5,1.0,0.6666666666666666
02,source,0.7419,0.5547368421052632,0.5,1.0,0.6666666666666666
00,target,0.5363,0.5047368421052632,0.5,1.0,0.6666666666666666
01,target,0.6474000000000001,0.5178947368421053,0.5,1.0,0.6666666666666666
02,target,0.5606,0.54,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6275,0.523859649122807,0.5,1.0,0.6666666666666666
harmonic mean,,0.620204037532046,0.5232695593105322,0.5,1.0,0.6666666666666666

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7192000000000001,0.6657894736842105,0.5714285714285714,1.0,0.7272727272727273
01,source,0.7303999999999999,0.6205263157894737,0.8333333333333334,0.35,0.49295774647887325
02,source,0.6978,0.4747368421052631,0.6551724137931034,0.38,0.48101265822784806
00,target,0.5759000000000001,0.511578947368421,0.5,1.0,0.6666666666666666
01,target,0.5163,0.4868421052631579,0.45454545454545453,0.15,0.2255639097744361
02,target,0.5344,0.49894736842105264,0.5,1.0,0.6666666666666666
arithmetic mean,,0.629,0.5430701754385965,0.5857466288500771,0.6466666666666666,0.5433567291812029
harmonic mean,,0.6161967005537745,0.5341429700245377,0.5619916194232192,0.3958987927898131,0.4645454236745466

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6719999999999999,0.5689473684210526,0.6785714285714286,0.38,0.48717948717948717
01,source,0.7010000000000001,0.5078947368421053,0.6470588235294118,0.33,0.43708609271523186
02,source,0.6455,0.5342105263157895,0.6857142857142857,0.24,0.3555555555555555
00,target,0.6988000000000001,0.5505263157894736,0.6527777777777778,0.47,0.5465116279069767
01,target,0.4972,0.48105263157894734,0.5205479452054794,0.38,0.4393063583815029
02,target,0.6514,0.5636842105263158,0.5025125628140703,1.0,0.6688963210702341
arithmetic mean,,0.6443166666666666,0.5343859649122807,0.6145304706020756,0.4666666666666666,0.48908924046816477
harmonic mean,,0.6355085188937281,0.5324943076608162,0.6048119068457491,0.38491672589807696,0.4704364636230448

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5559462759462759,0.5181543602596234,0.44,0.20952380952380953,0.28387096774193554
01,source,0.7322530864197531,0.5201609992058335,0.6530612244897959,0.2962962962962963,0.4076433121019108
02,source,0.5952093397745571,0.5171200949232986,0.631578947368421,0.34782608695652173,0.4485981308411215
00,target,0.7369791666666666,0.5511492852501625,0.7307692307692307,0.5277777777777778,0.6129032258064515
01,target,0.738940329218107,0.5138437657930836,0.6190476190476191,0.24074074074074073,0.3466666666666667
02,target,0.6679365079365079,0.5378028404344194,0.7101449275362319,0.4083333333333333,0.5185185185185186
arithmetic mean,,0.6712107843269779,0.5263718909777368,0.6307669915352164,0.3384163407714132,0.4363668036127674
harmonic mean,,0.6628521614537464,0.5260333902372557,0.6135421301576376,0.3073724848797697,0.40956233302328443

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6741,0.6136842105263158,0.7543859649122807,0.43,0.5477707006369427
01,source,0.8323999999999999,0.5810526315789474,0.7551020408163265,0.74,0.7474747474747474
02,source,0.6464000000000001,0.5563157894736842,0.6825396825396826,0.43,0.5276073619631901
00,target,0.5794,0.5157894736842106,0.5454545454545454,0.36,0.43373493975903615
01,target,0.5275000000000001,0.5094736842105263,0.5342465753424658,0.78,0.6341463414634146
02,target,0.6376999999999999,0.5189473684210526,0.6326530612244898,0.31,0.4161073825503356
arithmetic mean,,0.6495833333333333,0.5492105263157895,0.6507303117149651,0.5083333333333334,0.5511402456412778
harmonic mean,,0.6368326092304006,0.5466163342978051,0.6382438684109099,0.45153013447765566,0.5288919335004282

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7364,0.5289473684210526,0.6938775510204082,0.34,0.45637583892617456
01,source,0.8229,0.6136842105263158,0.8208955223880597,0.55,0.6586826347305389
02,source,0.7888591800356506,0.6547518528942677,0.7567567567567568,0.5490196078431373,0.6363636363636364
00,target,0.6717000000000001,0.5721052631578948,0.6935483870967742,0.43,0.5308641975308642
01,target,0.6678571428571429,0.531578947368421,0.7192982456140351,0.41,0.5222929936305732
02,target,0.47135717031910807,0.5025192739634553,0.4846153846153846,0.6176470588235294,0.543103448275862
arithmetic mean,,0.693178915535317,0.5672644860552346,0.694831974581903,0.4827777777777778,0.5579471249096083
harmonic mean,,0.6705075576149425,0.5625120780506017,0.6759509817379429,0.46280440014619634,0.5494298312142508

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5015000000000001,0.5068421052631579,0.6470588235294118,0.22,0.3283582089552239
01,source,0.5386000000000001,0.49526315789473685,0.5263157894736842,0.2,0.28985507246376807
02,source,0.6023,0.5121052631578947,0.6097560975609756,0.25,0.3546099290780142
00,target,0.4619,0.4868421052631579,0.38235294117647056,0.13,0.19402985074626866
01,target,0.5635,0.5505263157894736,0.5133333333333333,0.77,0.616
02,target,0.5544,0.49526315789473685,0.5641025641025641,0.22,0.3165467625899281
arithmetic mean,,0.5370333333333334,0.5078070175438597,0.5404865915294065,0.29833333333333334,0.34989997063886724
harmonic mean,,0.5331280899500196,0.5069931510573884,0.5253196000363858,0.2215500387325242,0.31165968381538706

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6359747190279469,0.535995672909472,0.6024418526876635,0.5344563026498844,0.5134952544455077
